packetGen Network.nodeTx.gen (#0 - General-0-20250512-18:12:15-16978),,bufferSize Network.nodeTx.queue (#0 - General-0-20250512-18:12:15-16978),,bufferSize Network.queue (#0 - General-0-20250512-18:12:15-16978),,bufferSize Network.nodeRx.queue (#0 - General-0-20250512-18:12:15-16978),,Delay Network.nodeRx.sink (#0 - General-0-20250512-18:12:15-16978),,packetUsed Network.nodeRx.sink (#0 - General-0-20250512-18:12:15-16978),,packetDrop Network.queue (#0 - General-0-20250512-18:12:15-16978),
2.491924999397,1,2.491924999397,1,2.683267299033,3,3.45291074958,1,3.55291074958,1.060985750182999782,3.55291074958,1,127.018154022814,1
2.989161841386,1,2.989161841386,1,3.089261841386,2,3.65291074958,1,3.75291074958,0.763748908193999873,3.75291074958,1,128.760968947397,1
3.036915262512,1,3.036915262512,1,3.189261841386,3,3.85291074958,1,3.95291074958,0.915995487068000043,3.95291074958,1,128.960968947397,1
3.109455578254,1,3.109455578254,1,3.289261841386,3,4.05291074958,1,4.15291074958,1.043455171325999848,4.15291074958,1,129.160968947397,1
3.206872530492,1,3.206872530492,1,3.389261841386,4,4.25291074958,1,4.35291074958,1.146038219088000072,4.35291074958,1,129.360968947397,1
3.442206948135,1,3.442206948135,1,3.542306948135,4,4.45291074958,1,4.55291074958,1.110703801444999689,4.55291074958,1,130.426913652082,1
3.693038628184,1,3.693038628184,1,3.793138628184,4,4.65291074958,1,4.75291074958,1.059872121395999841,4.75291074958,1,130.626913652082,1
3.805939745181,1,3.805939745181,1,3.906039745181,4,4.85291074958,1,4.95291074958,1.146971004399000011,4.95291074958,1,131.405743760061,1
3.904022130264,1,3.904022130264,1,4.006039745181,5,5.05291074958,1,5.15291074958,1.24888861931599981,5.15291074958,1,133.183467789949,1
4.029937058199,1,4.029937058199,1,4.130037058199,5,5.25291074958,1,5.35291074958,1.322973691380999732,5.35291074958,1,139.420094749947,1
4.104767859551,1,4.104767859551,1,4.230037058199,6,5.45291074958,1,5.55291074958,1.44814289002900009,5.55291074958,1,139.620094749947,1
4.494505972428,1,4.494505972428,1,4.594605972428,5,5.65291074958,1,5.75291074958,1.258404777151999716,5.75291074958,1,139.820094749947,1
4.765761362069,1,4.765761362069,1,4.865861362069,4,5.85291074958,1,5.95291074958,1.187149387510999961,5.95291074958,1,140.020094749947,1
4.776814165389,1,4.776814165389,1,4.965861362069,5,6.05291074958,1,6.15291074958,1.376096584191,6.15291074958,1,140.220094749947,1
4.838550864825,1,4.838550864825,2,5.065861362069,5,6.25291074958,1,6.35291074958,1.514359884754999712,6.35291074958,1,140.420094749947,1
4.852225018744,1,4.852225018744,3,5.165861362069,6,6.45291074958,1,6.55291074958,1.700685730835999715,6.55291074958,1,140.620094749947,1
5.00891689499,1,5.00891689499,2,5.265861362069,6,6.65291074958,1,6.75291074958,1.74399385458999977,6.75291074958,1,141.24705300664,1
5.01198073325,1,5.01198073325,3,5.365861362069,7,6.85291074958,1,6.95291074958,1.940930016329999832,6.95291074958,1,141.558649120924,1
5.080867953838,1,5.080867953838,3,5.465861362069,7,7.05291074958,1,7.15291074958,2.072042795742000003,7.15291074958,1,142.412643946734,1
5.348991103354,1,5.348991103354,2,5.565861362069,8,7.25291074958,1,7.35291074958,2.003919646225999601,7.35291074958,1,143.820842733922,1
5.821516592655,1,5.821516592655,1,5.921616592655,7,7.45291074958,1,7.55291074958,1.731394156924999976,7.55291074958,1,146.204239930335,1
6.047384231451,1,6.047384231451,1,6.147484231451,7,7.65291074958,1,7.75291074958,1.705526518129000018,7.75291074958,1,146.404239930335,1
6.070068859501,1,6.070068859501,1,6.247484231451,8,7.85291074958,1,7.95291074958,1.882841890078999816,7.95291074958,1,146.604239930335,1
6.376115998192,1,6.376115998192,1,6.476215998192,7,8.05291074958,1,8.15291074958,1.776794751388000018,8.15291074958,1,146.804239930335,1
6.682249830579,1,6.682249830579,1,6.782349830579,7,8.25291074958,1,8.35291074958,1.670660919000999991,8.35291074958,1,149.416140710613,1
7.25903311095,1,7.25903311095,1,7.35913311095,5,8.45291074958,1,8.55291074958,1.293877638629999708,8.55291074958,1,149.616140710613,1
7.355289486852,1,7.355289486852,1,7.45913311095,5,8.65291074958,1,8.75291074958,1.397621262727999796,8.75291074958,1,151.410196590759,1
7.596075420411,1,7.596075420411,1,7.696175420411,5,8.85291074958,1,8.95291074958,1.356835329168999843,8.95291074958,1,151.795159899842,1
7.838175731645,1,7.838175731645,1,7.938275731645,5,9.05291074958,1,9.15291074958,1.314735017934999912,9.15291074958,1,152.219275091895,1
7.931015150589,1,7.931015150589,1,8.038275731645,6,9.25291074958,1,9.35291074958,1.421895598991000038,9.35291074958,1,152.431608775902,1
8.041259813767,1,8.041259813767,1,8.141359813767,6,9.45291074958,1,9.55291074958,1.51165093581299991,9.55291074958,1,152.77898802731,1
8.268740209866,1,8.268740209866,1,8.368840209866,6,9.65291074958,1,9.75291074958,1.484170539713999918,9.75291074958,1,155.001766993497,1
8.439131051123,1,8.439131051123,1,8.539231051123,6,9.85291074958,1,9.95291074958,1.513779698456999772,9.95291074958,1,155.201766993497,1
8.458012212539,1,8.458012212539,1,8.639231051123,7,10.05291074958,1,10.15291074958,1.694898537040999901,10.15291074958,1,155.401766993497,1
8.649296367873,1,8.649296367873,1,8.749396367873,7,10.25291074958,1,10.35291074958,1.70361438170699974,10.35291074958,1,155.803564179366,1
8.802511149025,1,8.802511149025,1,8.902611149025,7,10.45291074958,1,10.55291074958,1.750399600554999762,10.55291074958,1,157.983836405815,1
8.933359328281,1,8.933359328281,1,9.033459328281,8,10.65291074958,1,10.75291074958,1.819551421298999822,10.75291074958,1,158.183836405815,1
8.956568780356,1,8.956568780356,1,9.133459328281,8,10.85291074958,1,10.95291074958,1.996341969223999862,10.95291074958,1,158.414197803884,1
9.072193979126,1,9.072193979126,1,9.233459328281,9,11.05291074958,1,11.15291074958,2.080716770453999932,11.15291074958,1,158.755860577016,1
9.506357050824,1,9.506357050824,1,9.606457050824,8,11.25291074958,1,11.35291074958,1.846553698755999831,11.35291074958,1,158.955860577016,1
9.719561752838,1,9.719561752838,1,9.819661752838,8,11.45291074958,1,11.55291074958,1.833348996742000018,11.55291074958,1,159.155860577016,1
9.830235846601,1,9.830235846601,1,9.930335846601,8,11.65291074958,1,11.75291074958,1.922674902978999781,11.75291074958,1,159.355860577016,1
9.847027770696,1,9.847027770696,1,10.030335846601,9,11.85291074958,1,11.95291074958,2.105882978883999878,11.95291074958,1,159.595416559161,1
9.92736262873,1,9.92736262873,2,10.130335846601,9,12.05291074958,1,12.15291074958,2.225548120850000082,12.15291074958,1,159.795416559161,1
10.023616834035,1,10.023616834035,2,10.230335846601,10,12.25291074958,1,12.35291074958,2.32929391554499964,12.35291074958,1,159.995416559161,1
10.069708886858,1,10.069708886858,2,10.330335846601,10,12.45291074958,1,12.55291074958,2.483201862721999822,12.55291074958,1,160.195416559161,1
10.100639379163,1,10.100639379163,3,10.430335846601,11,12.65291074958,1,12.75291074958,2.652271370416999992,12.75291074958,1,160.395416559161,1
