packetGen Network.nodeTx.gen (#0 - General-0-20250512-20:54:24-4975),,bufferSize Network.nodeTx.queue (#0 - General-0-20250512-20:54:24-4975),,bufferSize Network.queue (#0 - General-0-20250512-20:54:24-4975),,bufferSize Network.nodeRx.queue (#0 - General-0-20250512-20:54:24-4975),,Delay Network.nodeRx.sink (#0 - General-0-20250512-20:54:24-4975),,packetUsed Network.nodeRx.sink (#0 - General-0-20250512-20:54:24-4975),
21.37915020328,1,21.37915020328,1,21.47925020328,1,21.67925020328,1,21.87925020328,0.500099999999999987,21.87925020328,1
22.948046320903,1,22.948046320903,1,23.048146320903,1,23.248146320903,1,23.448146320903,0.500099999999999987,23.448146320903,1
24.620257521228,1,24.620257521228,1,24.720357521228,1,24.920357521228,1,25.120357521228,0.500099999999999987,25.120357521228,1
25.372931634541,1,25.372931634541,1,25.473031634541,1,25.673031634541,1,25.873031634541,0.500099999999999987,25.873031634541,1
26.026814201762,1,26.026814201762,1,26.126914201762,1,26.326914201762,1,26.526914201762,0.500099999999999987,26.526914201762,1
26.866247054662,1,26.866247054662,1,26.966347054662,1,27.166347054662,1,27.366347054662,0.500099999999999987,27.366347054662,1
27.365119063678,1,27.365119063678,1,27.465219063678,1,27.665219063678,1,27.865219063678,0.500099999999999987,27.865219063678,1
29.963373149527,1,29.963373149527,1,30.063473149527,1,30.263473149527,1,30.463473149527,0.500099999999999987,30.463473149527,1
31.771742413802,1,31.771742413802,1,31.871842413802,1,32.071842413802,1,32.271842413802,0.500099999999999987,32.271842413802,1
31.845427769267,1,31.845427769267,1,31.971842413802,1,32.271842413802,1,32.471842413802,0.626414644534999839,32.471842413802,1
32.25700576551,1,32.25700576551,1,32.35710576551,1,32.55710576551,1,32.75710576551,0.500099999999999987,32.75710576551,1
32.348166791634,1,32.348166791634,1,32.45710576551,1,32.75710576551,1,32.95710576551,0.608938973876000041,32.95710576551,1
33.392779299942,1,33.392779299942,1,33.492879299942,1,33.692879299942,1,33.892879299942,0.500099999999999987,33.892879299942,1
33.413204888341,1,33.413204888341,1,33.592879299942,1,33.892879299942,1,34.092879299942,0.679674411600999836,34.092879299942,1
33.872453025596,1,33.872453025596,1,33.972553025596,1,34.172553025596,1,34.372553025596,0.500099999999999987,34.372553025596,1
35.659940689035,1,35.659940689035,1,35.760040689035,1,35.960040689035,1,36.160040689035,0.500099999999999987,36.160040689035,1
38.810110617711,1,38.810110617711,1,38.910210617711,1,39.110210617711,1,39.310210617711,0.500099999999999987,39.310210617711,1
40.315894876348,1,40.315894876348,1,40.415994876348,1,40.615994876348,1,40.815994876348,0.500099999999999987,40.815994876348,1
40.467125730013,1,40.467125730013,1,40.567225730013,1,40.815994876348,1,41.015994876348,0.548869146334999944,41.015994876348,1
42.507439987955,1,42.507439987955,1,42.607539987955,1,42.807539987955,1,43.007539987955,0.500099999999999987,43.007539987955,1
44.548332203867,1,44.548332203867,1,44.648432203867,1,44.848432203867,1,45.048432203867,0.500099999999999987,45.048432203867,1
48.393554073009,1,48.393554073009,1,48.493654073009,1,48.693654073009,1,48.893654073009,0.500099999999999987,48.893654073009,1
49.035263245687,1,49.035263245687,1,49.135363245687,1,49.335363245687,1,49.535363245687,0.500099999999999987,49.535363245687,1
50.640502802749,1,50.640502802749,1,50.740602802749,1,50.940602802749,1,51.140602802749,0.500099999999999987,51.140602802749,1
52.254504877642,1,52.254504877642,1,52.354604877642,1,52.554604877642,1,52.754604877642,0.500099999999999987,52.754604877642,1
52.873434337269,1,52.873434337269,1,52.973534337269,1,53.173534337269,1,53.373534337269,0.500099999999999987,53.373534337269,1
53.608398758459,1,53.608398758459,1,53.708498758459,1,53.908498758459,1,54.108498758459,0.500099999999999987,54.108498758459,1
55.124934732449,1,55.124934732449,1,55.225034732449,1,55.425034732449,1,55.625034732449,0.500099999999999987,55.625034732449,1
56.260873674159,1,56.260873674159,1,56.360973674159,1,56.560973674159,1,56.760973674159,0.500099999999999987,56.760973674159,1
56.386748083597,1,56.386748083597,1,56.486848083597,1,56.760973674159,1,56.960973674159,0.574225590561999952,56.960973674159,1
57.661975785821,1,57.661975785821,1,57.762075785821,1,57.962075785821,1,58.162075785821,0.500099999999999987,58.162075785821,1
58.68340766017,1,58.68340766017,1,58.78350766017,1,58.98350766017,1,59.18350766017,0.500099999999999987,59.18350766017,1
59.555728855212,1,59.555728855212,1,59.655828855212,1,59.855828855212,1,60.055828855212,0.500099999999999987,60.055828855212,1
59.710458535712,1,59.710458535712,1,59.810558535712,1,60.055828855212,1,60.255828855212,0.54537031949999992,60.255828855212,1
60.481293194179,1,60.481293194179,1,60.581393194179,1,60.781393194179,1,60.981393194179,0.500099999999999987,60.981393194179,1
63.375713672166,1,63.375713672166,1,63.475813672166,1,63.675813672166,1,63.875813672166,0.500099999999999987,63.875813672166,1
64.79707835226,1,64.79707835226,1,64.89717835226,1,65.09717835226,1,65.29717835226,0.500099999999999987,65.29717835226,1
65.534905644016,1,65.534905644016,1,65.635005644016,1,65.835005644016,1,66.035005644016,0.500099999999999987,66.035005644016,1
65.646851804649,1,65.646851804649,1,65.746951804649,1,66.035005644016,1,66.235005644016,0.58815383936700005,66.235005644016,1
66.182417524877,1,66.182417524877,1,66.282517524877,1,66.482517524877,1,66.682517524877,0.500099999999999987,66.682517524877,1
