packetGen Network.nodeTx.gen (#0 - General-0-20250513-01:06:12-14682),,bufferSize Network.nodeTx.traTx (#0 - General-0-20250513-01:06:12-14682),,bufferSize Network.queue (#0 - General-0-20250513-01:06:12-14682),,bufferSize Network.nodeRx.traRx (#0 - General-0-20250513-01:06:12-14682),,Delay Network.nodeRx.sink (#0 - General-0-20250513-01:06:12-14682),,packetUsed Network.nodeRx.sink (#0 - General-0-20250513-01:06:12-14682),,bufferSize Network.appQueue (#0 - General-0-20250513-01:06:12-14682),
26.026814201762,1,26.026814201762,1,26.126914201762,1,26.327014201762,1,26.427014201762,0.4002,26.427014201762,1,27.166447054662,1
26.866247054662,1,26.866247054662,1,26.966347054662,1,27.166447054662,1,27.266447054662,0.4002,27.266447054662,1,27.665319063678,1
27.365119063678,1,27.365119063678,1,27.465219063678,1,27.665319063678,1,27.765319063678,0.4002,27.765319063678,1,30.263573149527,1
29.963373149527,1,29.963373149527,1,30.063473149527,1,30.263573149527,1,30.363573149527,0.4002,30.363573149527,1,32.071942413802,1
31.771742413802,1,31.771742413802,1,31.871842413802,1,32.071942413802,1,32.171942413802,0.4002,32.171942413802,1,32.271942413802,1
31.845427769267,1,31.845427769267,1,31.971842413802,1,32.271942413802,1,32.371942413802,0.526514644534999961,32.371942413802,1,32.55720576551,1
32.25700576551,1,32.25700576551,1,32.35710576551,1,32.55720576551,1,32.65720576551,0.4002,32.65720576551,1,32.75720576551,1
32.348166791634,1,32.348166791634,1,32.45710576551,1,32.75720576551,1,32.85720576551,0.509038973875999943,32.85720576551,1,33.692979299942,1
33.392779299942,1,33.392779299942,1,33.492879299942,1,33.692979299942,1,33.792979299942,0.4002,33.792979299942,1,33.892979299942,1
33.413204888341,1,33.413204888341,1,33.592879299942,1,33.892979299942,1,33.992979299942,0.579774411600999959,33.992979299942,1,34.172653025596,1
33.872453025596,1,33.872453025596,1,33.972553025596,1,34.172653025596,1,34.272653025596,0.4002,34.272653025596,1,35.960140689035,1
35.659940689035,1,35.659940689035,1,35.760040689035,1,35.960140689035,1,36.060140689035,0.4002,36.060140689035,1,39.110310617711,1
38.810110617711,1,38.810110617711,1,38.910210617711,1,39.110310617711,1,39.210310617711,0.4002,39.210310617711,1,40.616094876348,1
40.315894876348,1,40.315894876348,1,40.415994876348,1,40.616094876348,1,40.716094876348,0.4002,40.716094876348,1,40.816094876348,1
