packetGen Network.nodeTx.gen (#0 - General-0-20250512-19:56:48-19913),,bufferSize Network.nodeTx.queue (#0 - General-0-20250512-19:56:48-19913),,bufferSize Network.queue (#0 - General-0-20250512-19:56:48-19913),,bufferSize Network.nodeRx.queue (#0 - General-0-20250512-19:56:48-19913),,Delay Network.nodeRx.sink (#0 - General-0-20250512-19:56:48-19913),,packetUsed Network.nodeRx.sink (#0 - General-0-20250512-19:56:48-19913),
14.096687020898,1,14.096687020898,1,14.265318418538,1,14.565418418538,1,14.665418418538,0.568731397639999911,14.665418418538,1
14.415493946454,1,14.415493946454,1,14.515593946454,1,14.765418418538,1,14.865418418538,0.449924472083999991,14.865418418538,1
14.670851915041,1,14.670851915041,1,14.770951915041,1,14.971051915041,1,15.071051915041,0.4002,15.071051915041,1
14.888932213802,1,14.888932213802,1,14.989032213802,1,15.189132213802,1,15.289132213802,0.4002,15.289132213802,1
14.927614633927,1,14.927614633927,1,15.089032213802,1,15.389132213802,1,15.489132213802,0.561517579874999836,15.489132213802,1
15.120323298544,1,15.120323298544,1,15.220423298544,1,15.589132213802,1,15.689132213802,0.568808915258000033,15.689132213802,1
15.843928418041,1,15.843928418041,1,15.944028418041,1,16.144128418041,1,16.244128418041,0.4002,16.244128418041,1
16.199269588064,1,16.199269588064,1,16.299369588064,1,16.499469588064,1,16.599469588064,0.4002,16.599469588064,1
16.383726411003,1,16.383726411003,1,16.483826411003,1,16.699469588064,1,16.799469588064,0.415743177060999945,16.799469588064,1
16.411712951161,1,16.411712951161,1,16.583826411003,1,16.899469588064,1,16.999469588064,0.587756636902999837,16.999469588064,1
16.545604381218,1,16.545604381218,1,16.683826411003,2,17.099469588064,1,17.199469588064,0.653865206846000022,17.199469588064,1
16.706028056726,1,16.706028056726,1,16.806128056726,2,17.299469588064,1,17.399469588064,0.693441531338000013,17.399469588064,1
16.782848144764,1,16.782848144764,1,16.906128056726,2,17.499469588064,1,17.599469588064,0.816621443299999856,17.599469588064,1
16.834398965272,1,16.834398965272,1,17.006128056726,3,17.699469588064,1,17.799469588064,0.965070622791999839,17.799469588064,1
17.20646267171,1,17.20646267171,1,17.30656267171,2,17.899469588064,1,17.999469588064,0.793006916353999888,17.999469588064,1
17.540285217866,1,17.540285217866,1,17.640385217866,2,18.099469588064,1,18.199469588064,0.659184370198000022,18.199469588064,1
17.692555823662,1,17.692555823662,1,17.792655823662,2,18.299469588064,1,18.399469588064,0.706913764402000041,18.399469588064,1
17.753567946346,1,17.753567946346,1,17.892655823662,3,18.499469588064,1,18.599469588064,0.84590164171799986,18.599469588064,1
17.963651622749,1,17.963651622749,1,18.063751622749,3,18.699469588064,1,18.799469588064,0.835817965314999963,18.799469588064,1
17.999971129572,1,17.999971129572,1,18.163751622749,3,18.899469588064,1,18.999469588064,0.999498458491999915,18.999469588064,1
18.004713271872,1,18.004713271872,2,18.263751622749,4,19.099469588064,1,19.199469588064,1.19475631619200006,19.199469588064,1
18.102655974541,1,18.102655974541,2,18.363751622749,4,19.299469588064,1,19.399469588064,1.296813613522999726,19.399469588064,1
18.343001209307,1,18.343001209307,1,18.463751622749,5,19.499469588064,1,19.599469588064,1.256468378756999897,19.599469588064,1
18.383535331668,1,18.383535331668,1,18.563751622749,5,19.699469588064,1,19.799469588064,1.415934256396000007,19.799469588064,1
